[3087, 285][0, 0, 0]
[3088, 285][0, 0, 0]
[3089, 285][0, 0, 0]
[3090, 285][0, 0, 0]
[3091, 285][0, 0, 0]
[3092, 285][0, 0, 0]
[3093, 285][0, 0, 0]
[3094, 285][0, 0, 0]
[3095, 285][0, 0, 0]
[3096, 285][0, 0, 0]
[3097, 285][0, 0, 0]
[3098, 285][0, 0, 0]
[3099, 285][0, 0, 0]
[3070, 286][0, 0, 0]
[3071, 286][0, 0, 0]
[3072, 286][0, 0, 0]
[3073, 286][0, 0, 0]
[3074, 286][0, 0, 0]
[3075, 286][0, 0, 0]
[3076, 286][0, 0, 0]
[3077, 286][0, 0, 0]
[3078, 286][0, 0, 0]
[3079, 286][0, 0, 0]
[3080, 286][0, 0, 0]
[3081, 286][0, 0, 0]
[3082, 286][0, 0, 0]
[3083, 286][0, 0, 0]
[3084, 286][0, 0, 0]
[3085, 286][0, 0, 0]
[3086, 286][0, 0, 0]
[3087, 286][0, 0, 0]
[3088, 286][0, 0, 0]
[3089, 286][0, 0, 0]
[3090, 286][0, 0, 0]
[3091, 286][0, 0, 0]
[3092, 286][0, 0, 0]
[3093, 286][0, 0, 0]
[3094, 286][0, 0, 0]
[3095, 286][0, 0, 0]
[3096, 286][0, 0, 0]
[3097, 286][0, 0, 0]
[3098, 286][0, 0, 0]
[3099, 286][0, 0, 0]
[3070, 857][0, 0, 0]
[3071, 857][0, 0, 0]
[3072, 857][0, 0, 0]
[3073, 857][0, 0, 0]
[3074, 857][0, 0, 0]
[3075, 857][0, 0, 0]
[3076, 857][0, 0, 0]
[3077, 857][0, 0, 0]
[3078, 857][0, 0, 0]
[3079, 857][0, 0, 0]
[3080, 857][0, 0, 0]
[3081, 857][0, 0, 0]
[3082, 857][0, 0, 0]
[3083, 857][0, 0, 0]
[3084, 857][0, 0, 0]
[3085, 857][0, 0, 0]
[3086, 857][0, 0, 0]
[3087, 857][0, 0, 0]
[3088, 857][0, 0, 0]
[3089, 857][0, 0, 0]
[3090, 857][0, 0, 0]
[3091, 857][0, 0, 0]
[3092, 857][0, 0, 0]
[3093, 857][0, 0, 0]
[3094, 857][0, 0, 0]
[3095, 857][0, 0, 0]
[3096, 857][0, 0, 0]
[3097, 857][0, 0, 0]
[3098, 857][0, 0, 0]
[3099, 857][0, 0, 0]
[3070, 858][0, 0, 0]
[3071, 858][0, 0, 0]
[3072, 858][0, 0, 0]
[3073, 858][0, 0, 0]
[3074, 858][0, 0, 0]
[3075, 858][0, 0, 0]
[3076, 858][0, 0, 0]
[3077, 858][0, 0, 0]
[3078, 858][0, 0, 0]
[3079, 858][0, 0, 0]
[3080, 858][0, 0, 0]
[3081, 858][0, 0, 0]
[3082, 858][0, 0, 0]
[3083, 858][0, 0, 0]
[3084, 858][0, 0, 0]
[3085, 858][0, 0, 0]
[3086, 858][0, 0, 0]
[3087, 858][0, 0, 0]
[3088, 858][0, 0, 0]
[3089, 858][0, 0, 0]
[3090, 858][0, 0, 0]
[3091, 858][0, 0, 0]
[3092, 858][0, 0, 0]
[3093, 858][0, 0, 0]
[3094, 858][0, 0, 0]
[3095, 858][0, 0, 0]
[3096, 858][0, 0, 0]
[3097, 858][0, 0, 0]
[3098, 858][0, 0, 0]
[3099, 858][0, 0, 0]
[3070, 1429][0, 0, 0]
[3071, 1429][0, 0, 0]
[3072, 1429][0, 0, 0]
[3073, 1429][0, 0, 0]
[3074, 1429][0, 0, 0]
[3075, 1429][0, 0, 0]
[3076, 1429][0, 0, 0]
[3077, 1429][0, 0, 0]
[3078, 1429][0, 0, 0]
[3079, 1429][0, 0, 0]
[3080, 1429][0, 0, 0]
[3081, 1429][0, 0, 0]
[3082, 1429][0, 0, 0]
[3083, 1429][0, 0, 0]
[3084, 1429][0, 0, 0]
[3085, 1429][0, 0, 0]
[3086, 1429][0, 0, 0]
[3087, 1429][0, 0, 0]
[3088, 1429][0, 0, 0]
[3089, 1429][0, 0, 0]
[3090, 1429][0, 0, 0]
[3091, 1429][0, 0, 0]
[3092, 1429][0, 0, 0]
[3093, 1429][0, 0, 0]
[3094, 1429][0, 0, 0]
[3095, 1429][0, 0, 0]
[3096, 1429][0, 0, 0]
[3097, 1429][0, 0, 0]
[3098, 1429][0, 0, 0]
[3099, 1429][0, 0, 0]
[3070, 1430][0, 0, 0]
[3071, 1430][0, 0, 0]
[3072, 1430][0, 0, 0]
[3073, 1430][0, 0, 0]
[3074, 1430][0, 0, 0]
[3075, 1430][0, 0, 0]
[3076, 1430][0, 0, 0]
[3077, 1430][0, 0, 0]
[3078, 1430][0, 0, 0]
[3079, 1430][0, 0, 0]
[3080, 1430][0, 0, 0]
[3081, 1430][0, 0, 0]
[3082, 1430][0, 0, 0]
[3083, 1430][0, 0, 0]
[3084, 1430][0, 0, 0]
[3085, 1430][0, 0, 0]
[3086, 1430][0, 0, 0]
[3087, 1430][0, 0, 0]
[3088, 1430][0, 0, 0]
[3089, 1430][0, 0, 0]
[3090, 1430][0, 0, 0]
[3091, 1430][0, 0, 0]
[3092, 1430][0, 0, 0]
[3093, 1430][0, 0, 0]
[3094, 1430][0, 0, 0]
[3095, 1430][0, 0, 0]
[3096, 1430][0, 0, 0]
[3097, 1430][0, 0, 0]
[3098, 1430][0, 0, 0]
[3099, 1430][0, 0, 0]
[775, 2][0, 0, 0]
[775, 3][0, 0, 0]
[775, 4][0, 0, 0]
[775, 5][0, 0, 0]
[775, 6][0, 0, 0]
[775, 7][0, 0, 0]
[775, 8][0, 0, 0]
[775, 9][0, 0, 0]
[775, 10][0, 0, 0]
[775, 11][0, 0, 0]
[775, 12][0, 0, 0]
[775, 13][0, 0, 0]
[775, 14][0, 0, 0]
[775, 15][0, 0, 0]
[775, 16][0, 0, 0]
[775, 17][0, 0, 0]
[775, 18][0, 0, 0]
